"Алма-Ата"	76.9,43.25
"Бад-Наухайм"	8.75,50.366667
"Бриенц"	8.033333,46.749722
"Айзенах"	10.324444,50.974722
"Фолиньо"	12.7,42.95
"Иматра"	28.776389,61.193056
"Лаутербруннен"	7.908611,46.599722
"Люцерн"	8.3,47.049722
"Медон"	2.240278,48.8075
"Мендзыздрое"	14.45,53.916667
"Нордвейк"	4.433333,52.233333
"Нюнесхамн"	17.946389,58.904444
"Кемпер"	-4.096389,47.996667
"Рауха"	28.695,61.194
"Бад-Заров"	14.063611,52.293056
"Сен-Жан-де-Люз"	-1.658333,43.390833
"Санта-Маргерита-Лигуре"	9.21,44.334722
"Схевенинген"	4.273056,52.108056
"Сигулда"	24.854444,57.153889
"Эстония"	25.633333,58.833333
"Сполето"	12.733333,42.733333
"Стрэнд"	-0.118889,51.511389
"Тойла"	27.516667,59.416667
"Выборг"	28.744167,60.709167
"Аджимушкайские каменоломни"	36.523447,45.380969
"Эдирне"	26.559444,41.678056
"Алупка"	34.043056,44.419722
"Альтенбург"	12.433333,50.985
"Амбуаз"	0.98,47.404167
"Англия"	-1.466667,53.166667
"Андорра"	1.555278,42.558333
"Москва"	37.617778,55.755833
"Архангельск"	40.533333,64.55
"Ассизи"	12.6,43.066667
"Афины"	23.716667,38
"Базель"	7.616667,47.558333
"Байройт"	11.578333,49.948056
"Баку"	49.835183,40.366656
"Балаклава"	33.6,44.5
"Барнаул"	83.778333,53.347361
"Батуми"	41.641667,41.645833
"Бахчисарай"	33.860833,44.752778
"Бахчисарайский дворец"	33.881944,44.748611
"Бежецк"	36.7,57.783333
"Безенчук"	49.435871,52.981823
"Иркутская область"	106,57.366667
"Белград"	20.466667,44.816667
"Калужская область"	35.433333,54.433333
"Бельское Устье"	29.704444,57.678333
"Одесса"	30.727778,46.486111
"Люцернское озеро"	8.4,47.0167
"Берлин"	13.383333,52.516667
"Биарриц"	-1.555354,43.485604
"Смоленская область"	33,55
"Волынская область"	25.353889,50.741389
"Улькен-Нарын"	84.511514,49.212131
"Братск"	101.6,56.116667
"Бровары"	30.790278,50.511389
"Брюссель"	4.3525,50.846667
"Булонский лес"	2.25,48.866667
"Бургас"	27.466667,42.5
"Брянская область"	33.4,52.95
"Стамбул"	28.960278,41.01
"Вайвара"	27.763056,59.367222
"Варшава"	21.033333,52.216667
"Васильсурск"	46.007222,56.1275
"Ведено"	46.110278,42.956944
"Веймар"	11.316667,50.983333
"Веймарн"	28.849167,59.401111
"Тихий Океан"	-157,9
"Венеция"	12.316667,45.433333
"Верея"	36.183333,55.333333
"Улан-Удэ"	107.616667,51.833333
"Вильнюс"	25.283333,54.683333
"Владивосток"	131.9,43.116667
"Владикавказ"	44.683333,43.016667
"Волга"	47.8625,45.6972
"Вологда"	39.9,59.216667
"Воронеж"	39.210556,51.671667
"Выра"	29.958333,59.345833
"Вьетнам"	107.9,14.033333
"Хаапсалу"	23.533333,58.95
"Гарц"	10.633333,51.75
"Гатчина"	30.133333,59.566667
"Гейдельберг"	8.71,49.412222
"Геленджик"	38.076667,44.560833
"Хелуан"	31.334167,29.841944
"Генуя"	8.933333,44.416667
"Голицыно"	36.987222,55.614722
"Бад-Хомбург-фор-дер-Хёэ"	8.6,50.216667
"Гомель"	30.983333,52.441667
"Грас"	6.916667,43.666667
"Грузия"	43.733331,42.016669
"Грязовец"	40.25,58.883333
"Нарва-Йыэсуу"	28.033333,59.45
"Цахкадзор"	44.720556,40.533333
"Киев"	30.523415,50.450091
"Ялта"	34.155278,44.499444
"Демьяново"	47.1,60.35
"Тарту"	26.716667,58.366667
"Царское Село"	30.416667,59.716667
"Днепропетровск"	35.018155,48.466601
"Кура"	49.427778,39.286389
"Лейпциг"	12.383333,51.333333
"Коктебель"	35.240278,44.959722
"Сестрорецк"	29.966667,60.1
"Дубровник"	18.066667,42.65
"Дылицы"	29.759167,59.482222
"Евпатория"	33.358333,45.2
"Елец"	38.466667,52.616667
"Гянджа"	46.360556,40.682778
"Рыбинск"	38.833333,58.05
"Железноводск"	43.033333,44.133333
"Звенигород"	36.85,55.733333
"Иваново"	40.980278,56.995
"Соль-Илецк"	54.983333,51.166667
"Ионическое море"	18.294722,38.101111
"Иркутск"	104.3,52.283333
"Искья"	13.910556,40.72
"Италия"	12,43
